t,H-Concentration,OH-Concentration,O2-Concentration,HO2-Concentration,C-Concentration,CH-Concentration,CH3-Concentration,C3H7-Concentration,H-Reaction_rate,OH-Reaction_rate,O2-Reaction_rate,HO2-Reaction_rate,C-Reaction_rate,CH-Reaction_rate,CH3-Reaction_rate,C3H7-Reaction_rate,T
1.227999999999967e-13,1.4445633780391491,0.4566416604073246,0.01455624547042941,2.257122924325907,1.4147257947789433,0.6631895464189967,0.04042743040572261,1.2938857427987795,-2153329894877.8967,-2020521713096.5657,-659552209736.0443,1669813066284.3271,-3719730546505.398,4271656443284.2886,-719686213665.1136,55920105628.741104,1000.0
1.228999999999967e-13,1.4443479822115795,0.45643969766045106,0.014490418237129803,2.2572897329326436,1.414353783922814,0.6636167039286165,0.04035553238006903,1.2938913265895007,-2154581000331.7341,-2018734842075.5112,-656992431918.4113,1666359852956.167,-3720485950968.7124,4271493661173.1787,-718279521867.5181,55757270554.350555,1000.0
1.229999999999967e-13,1.4441324615694602,0.45623791347922205,0.014424846597202577,2.257456196663185,1.4139816979256101,0.6640438448429122,0.04028377485765737,1.2938968941246072,-2155826428773.537,-2016950340340.2063,-654440391501.6354,1662915561671.7385,-3721233350730.636,4271324502276.81,-716875911840.5989,55594920098.14163,1000.0
1.230999999999967e-13,1.4439168166812513,0.45603630762653813,0.014359529778021962,2.257622316408708,1.413609537586662,0.6644709685253107,0.04021215752919146,1.2939024454529457,-2157066196197.1157,-2015168203700.3955,-651896075385.5698,1659480177235.7676,-3721972763489.163,4271148981175.64,-715475375868.176,55433052727.23314,1000.0
1.231999999999967e-13,1.4437010481138843,0.455834879865702,0.01429446700830191,2.257788093058846,1.4132373037035098,0.6648980743407236,0.04014068008608154,1.2939079806232288,-2158300318557.1396,-2013388427974.93,-649359470451.7737,1656053684439.2388,-3722704206947.2363,4270967112460.377,-714077906255.3257,55271666914.061516,1000.0
1.2329999999999668e-13,1.443485156432767,0.4556336299604176,0.014229657518098899,2.2579535275016913,1.4128649970719025,0.6653251616555487,0.0400693422204408,1.2939134996840365,-2159528811769.2788,-2011611008991.7476,-646830563563.703,1652636068059.5767,-3723427698812.584,4270778910731.797,-712683495328.2765,55110761136.35465,1000.0
1.2339999999999668e-13,1.443269142201789,0.4554325576747886,0.014165100538814776,2.2581186206237898,1.4124926184857967,0.6657522298376729,0.0399981436250819,1.2939190026838165,-2160751691710.3445,-2009835942587.8386,-644309341566.9042,1649227312860.8235,-3724143256797.545,4270584390600.5312,-711292135434.3048,54950333877.10606,1000.0
1.2349999999999667e-13,1.4430530059833266,0.4552316627733171,0.01410079530319957,2.2582833733101406,1.4121201687373555,0.6661792782564736,0.039927083993513586,1.2939244896708861,-2161968974218.4197,-2008063224609.224,-641795791289.2085,1645827403593.8206,-3724850898618.893,4270383566686.8794,-709903818941.6327,54790383624.548965,1000.0
1.2359999999999667e-13,1.4428367483382492,0.45503094502090286,0.014036741045354316,2.258447786444193,1.411747648616947,0.6666063062828209,0.039856163019937156,1.293929960693432,-2163180675092.9995,-2006292850910.9268,-639289899540.9277,1642436324996.391,-3725550641997.6587,4270176453620.59,-708518538239.3231,54630908872.13066,1000.0
1.2369999999999666e-13,1.442620369825924,0.4548304041828413,0.01397293700073388,2.2586118609078443,1.4113750589131429,0.6670333132890793,0.03978538039924308,1.293935415799512,-2164386810095.128,-2004524817356.944,-636791653115.0509,1639054061793.523,-3726242504658.9575,4269963066040.675,-707136285737.1779,54471908118.48687,1000.0
1.2379999999999666e-13,1.4424038710042215,0.454630040024823,0.01390938240614978,2.2587755975814376,1.4110024004127175,0.6674602986491102,0.039714735827007526,1.2939408550370552,-2165587394947.533,-2002759119820.2222,-634301038787.4446,1635680598697.5557,-3726926504331.8037,4269743418595.1895,-705757053865.6348,54313379867.41642,1000.0
1.2389999999999665e-13,1.442187252429521,0.45442985231293187,0.01384607649977301,2.25893899734376,1.4106296739006465,0.6678872617382733,0.039644228999488905,1.2939462784538642,-2166782445334.7632,-2000995754182.629,-631818043317.0513,1632315920408.3657,-3727602658748.933,4269517525941.031,-704380835075.6648,54155322627.855736,1000.0
1.2399999999999664e-13,1.4419705146567157,0.4542298408136442,0.013783018521136866,2.25910206107204,1.410256880160105,0.6683142019334292,0.03957385961362445,1.2939516860976141,-2167971976903.327,-1999234716334.9265,-629342653446.0927,1628960011613.556,-3728270985646.623,4269285402743.7314,-703007621838.6704,53997734913.85382,1000.0
1.2409999999999664e-13,1.4417536582253327,0.4540300052972983,0.01372020770563365,2.2592647896457163,1.4098840199760772,0.6687411186083322,0.03950362738041183,1.2939570780117267,-2169156004813.2537,-1997476002207.2866,-626874855644.3778,1625612856748.021,-3728931502989.5996,4269047064067.4785,-701637406919.8636,53840615280.66176,1000.0
